> py .\solve.py
Level = 65, Scancode = 0x48 (H), bignum_96f = 0x18f4ae2e8e68bf247b73e4e223d26b15
Level = 66, Scancode = 0x4d (M), bignum_96f = 0xd2656bddcaeb856e466777793bdd6dcc
Level = 67, Scancode = 0x48 (H), bignum_96f = 0x32d3568075641c8acaefa2b3294a191d
Level = 68, Scancode = 0x4b (K), bignum_96f = 0xd882bf01002dd11793ac336142594257
Level = 69, Scancode = 0x4b (K), bignum_96f = 0x72e016cdc5e08798ac1e748964e67e8
Level = 70, Scancode = 0x4b (K), bignum_96f = 0xc5bf3628439da0ab0d00812b6533a6e2
Level = 71, Scancode = 0x4b (K), bignum_96f = 0xe036978644759718b44b2ee18e9826b3
Level = 72, Scancode = 0x50 (P), bignum_96f = 0xc4f58e807008e35f8d62181a3e249b72
Level = 73, Scancode = 0x50 (P), bignum_96f = 0x6ee81a4758f81e5e33e2c99e67456c3
Level = 74, Scancode = 0x4b (K), bignum_96f = 0x36565d087036dad118e6e0540d646ffd
Level = 75, Scancode = 0x50 (P), bignum_96f = 0xbc49554a7850f25c01254213bbb4a593
Level = 76, Scancode = 0x50 (P), bignum_96f = 0xab5675a48e47a5c98a3efe8fd707d5cd
Level = 77, Scancode = 0x4d (M), bignum_96f = 0x9feb81c6a96b56d804107c6dc0bab460
Level = 78, Scancode = 0x4b (K), bignum_96f = 0xdcbb994f084263397c7c5fbd22527ad8
Level = 79, Scancode = 0x4d (M), bignum_96f = 0xeb79c2b56b8fe7a20258b1dded2452ad
Level = 80, Scancode = 0x50 (P), bignum_96f = 0xb5ac5635600c033745b1b2c1ae9d7068
Level = 81, Scancode = 0x50 (P), bignum_96f = 0xb9e972ea62c104bd97cac476926c1bd
Level = 82, Scancode = 0x50 (P), bignum_96f = 0x7335daa6f523dc2731f5ceb9a246c5f8
Level = 83, Scancode = 0x4b (K), bignum_96f = 0x34e7c43a2ffa5f9b1a3781f5b562d0c8
Level = 84, Scancode = 0x48 (H), bignum_96f = 0xc9437a4c2e38a162f59eb0da74197a40
Level = 85, Scancode = 0x48 (H), bignum_96f = 0x1e746f80152acf922e7f9dc0c852f10
Level = 86, Scancode = 0x50 (P), bignum_96f = 0xbee2785b0051b43790f289ac43d6ae90
Level = 87, Scancode = 0x48 (H), bignum_96f = 0x72169eb6c852ea9f355c253b60650f58
Level = 88, Scancode = 0x48 (H), bignum_96f = 0xb247d74e3706f28a46e88a01c836e0d8
Level = 89, Scancode = 0x4b (K), bignum_96f = 0xb6fc33467d3ff6effd3bbea726596fa3
Level = 90, Scancode = 0x50 (P), bignum_96f = 0x3b571b98c9adc24b105b117bdfa593e8
Level = 91, Scancode = 0x4b (K), bignum_96f = 0xb6089447640de0d417e52d219da7812e
Level = 92, Scancode = 0x4d (M), bignum_96f = 0x6063e19f803e6c170e87b8ed4d66e5b5
Level = 93, Scancode = 0x48 (H), bignum_96f = 0x9a34067efb73a8344c53cfccf207a336
Level = 94, Scancode = 0x48 (H), bignum_96f = 0xf94c94b389aab132986d15773317463d
Level = 95, Scancode = 0x50 (P), bignum_96f = 0xee8c21d9923433e0984f7b6cd8f76546
Level = 96, Scancode = 0x4d (M), bignum_96f = 0xd655e6bf2eb95c94f6fc38c0ca2808ca
Level = 97, Scancode = 0x4d (M), bignum_96f = 0xa5e2f7c5dc32bfa500d2c199c8a44693
